Time | Swap | PID | Size | Dur. | Memory Map
-------------------------------------------------
 00  |      |     |      |      | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 01  | in   | P10 | 03   | 3    | P10 P10 P10 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 02  | in   | P11 | 02   | 2    | P10 P10 P10 P11 P11 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 03  | in   | P12 | 02   | 1    | P10 P10 P10 P11 P11 P12 P12 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 04  | out  | P10 |      |      | . . . P11 P11 P12 P12 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 04  | out  | P11 |      |      | . . . . . P12 P12 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 04  | out  | P12 |      |      | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 04  | in   | P13 | 03   | 4    | P13 P13 P13 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 05  | in   | P14 | 05   | 2    | P13 P13 P13 P14 P14 P14 P14 P14 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 06  | in   | P15 | 05   | 1    | P13 P13 P13 P14 P14 P14 P14 P14 P15 P15 P15 P15 P15 . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 07  | out  | P14 |      |      | P13 P13 P13 . . . . . P15 P15 P15 P15 P15 . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 07  | out  | P15 |      |      | P13 P13 P13 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 07  | in   | P16 | 04   | 3    | P13 P13 P13 P16 P16 P16 P16 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 08  | out  | P13 |      |      | . . . P16 P16 P16 P16 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 08  | in   | P17 | 05   | 5    | . . . P16 P16 P16 P16 P17 P17 P17 P17 P17 . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 09  | in   | P18 | 02   | 2    | P18 P18 . P16 P16 P16 P16 P17 P17 P17 P17 P17 . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 10  | out  | P16 |      |      | P18 P18 . . . . . P17 P17 P17 P17 P17 . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 10  | in   | P19 | 04   | 5    | P18 P18 P19 P19 P19 P19 . P17 P17 P17 P17 P17 . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 11  | out  | P18 |      |      | . . P19 P19 P19 P19 . P17 P17 P17 P17 P17 . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 11  | in   | P20 | 04   | 1    | . . P19 P19 P19 P19 . P17 P17 P17 P17 P17 P20 P20 P20 P20 . . . . . . . . . . . . . . . . . . . . . . . . 
 12  | out  | P20 |      |      | . . P19 P19 P19 P19 . P17 P17 P17 P17 P17 . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 12  | in   | P21 | 04   | 3    | . . P19 P19 P19 P19 . P17 P17 P17 P17 P17 P21 P21 P21 P21 . . . . . . . . . . . . . . . . . . . . . . . . 
 13  | out  | P17 |      |      | . . P19 P19 P19 P19 . . . . . . P21 P21 P21 P21 . . . . . . . . . . . . . . . . . . . . . . . . 
 13  | in   | P22 | 05   | 4    | . . P19 P19 P19 P19 P22 P22 P22 P22 P22 . P21 P21 P21 P21 . . . . . . . . . . . . . . . . . . . . . . . . 
 14  | in   | P23 | 04   | 4    | . . P19 P19 P19 P19 P22 P22 P22 P22 P22 . P21 P21 P21 P21 P23 P23 P23 P23 . . . . . . . . . . . . . . . . . . . . 
 15  | out  | P19 |      |      | . . . . . . P22 P22 P22 P22 P22 . P21 P21 P21 P21 P23 P23 P23 P23 . . . . . . . . . . . . . . . . . . . . 
 15  | out  | P21 |      |      | . . . . . . P22 P22 P22 P22 P22 . . . . . P23 P23 P23 P23 . . . . . . . . . . . . . . . . . . . . 
 15  | in   | P24 | 05   | 4    | P24 P24 P24 P24 P24 . P22 P22 P22 P22 P22 . . . . . P23 P23 P23 P23 . . . . . . . . . . . . . . . . . . . . 
