Time | Swap | PID | Size | Dur. | Memory Map
-------------------------------------------------
 00  |      |     |      |      | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 01  | in   | P10 | 02   | 5    | P10 P10 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 02  | in   | P11 | 04   | 2    | P10 P10 P11 P11 P11 P11 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 03  | in   | P12 | 05   | 3    | P10 P10 P11 P11 P11 P11 P12 P12 P12 P12 P12 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 04  | out  | P11 |      |      | P10 P10 . . . . P12 P12 P12 P12 P12 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 04  | in   | P13 | 05   | 5    | P10 P10 . . . . P12 P12 P12 P12 P12 P13 P13 P13 P13 P13 . . . . . . . . . . . . . . . . . . . . . . . . 
 05  | in   | P14 | 02   | 5    | P10 P10 . . . . P12 P12 P12 P12 P12 P13 P13 P13 P13 P13 P14 P14 . . . . . . . . . . . . . . . . . . . . . . 
 06  | out  | P10 |      |      | . . . . . . P12 P12 P12 P12 P12 P13 P13 P13 P13 P13 P14 P14 . . . . . . . . . . . . . . . . . . . . . . 
 06  | out  | P12 |      |      | . . . . . . . . . . . P13 P13 P13 P13 P13 P14 P14 . . . . . . . . . . . . . . . . . . . . . . 
 06  | in   | P15 | 05   | 5    | . . . . . . . . . . . P13 P13 P13 P13 P13 P14 P14 P15 P15 P15 P15 P15 . . . . . . . . . . . . . . . . . 
 07  | in   | P16 | 02   | 4    | . . . . . . . . . . . P13 P13 P13 P13 P13 P14 P14 P15 P15 P15 P15 P15 P16 P16 . . . . . . . . . . . . . . . 
 08  | in   | P17 | 05   | 3    | . . . . . . . . . . . P13 P13 P13 P13 P13 P14 P14 P15 P15 P15 P15 P15 P16 P16 P17 P17 P17 P17 P17 . . . . . . . . . . 
 09  | out  | P13 |      |      | . . . . . . . . . . . . . . . . P14 P14 P15 P15 P15 P15 P15 P16 P16 P17 P17 P17 P17 P17 . . . . . . . . . . 
 09  | in   | P18 | 05   | 3    | . . . . . . . . . . . . . . . . P14 P14 P15 P15 P15 P15 P15 P16 P16 P17 P17 P17 P17 P17 P18 P18 P18 P18 P18 . . . . . 
 10  | out  | P14 |      |      | . . . . . . . . . . . . . . . . . . P15 P15 P15 P15 P15 P16 P16 P17 P17 P17 P17 P17 P18 P18 P18 P18 P18 . . . . . 
 10  | in   | P19 | 02   | 4    | . . . . . . . . . . . . . . . . . . P15 P15 P15 P15 P15 P16 P16 P17 P17 P17 P17 P17 P18 P18 P18 P18 P18 P19 P19 . . . 
 11  | out  | P15 |      |      | . . . . . . . . . . . . . . . . . . . . . . . P16 P16 P17 P17 P17 P17 P17 P18 P18 P18 P18 P18 P19 P19 . . . 
 11  | out  | P16 |      |      | . . . . . . . . . . . . . . . . . . . . . . . . . P17 P17 P17 P17 P17 P18 P18 P18 P18 P18 P19 P19 . . . 
 11  | out  | P17 |      |      | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . P18 P18 P18 P18 P18 P19 P19 . . . 
 11  | in   | P20 | 05   | 2    | P20 P20 P20 P20 P20 . . . . . . . . . . . . . . . . . . . . . . . . . P18 P18 P18 P18 P18 P19 P19 . . . 
 12  | out  | P18 |      |      | P20 P20 P20 P20 P20 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . P19 P19 . . . 
 12  | in   | P21 | 03   | 4    | P20 P20 P20 P20 P20 P21 P21 P21 . . . . . . . . . . . . . . . . . . . . . . . . . . . P19 P19 . . . 
 13  | out  | P20 |      |      | . . . . . P21 P21 P21 . . . . . . . . . . . . . . . . . . . . . . . . . . . P19 P19 . . . 
 13  | in   | P22 | 05   | 5    | . . . . . P21 P21 P21 P22 P22 P22 P22 P22 . . . . . . . . . . . . . . . . . . . . . . P19 P19 . . . 
 14  | out  | P19 |      |      | . . . . . P21 P21 P21 P22 P22 P22 P22 P22 . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 14  | in   | P23 | 04   | 3    | . . . . . P21 P21 P21 P22 P22 P22 P22 P22 P23 P23 P23 P23 . . . . . . . . . . . . . . . . . . . . . . . 
